Neighborhood,Longitude,Latitude,Borough_code,mean_2019,predicted_from_neighbors,historic_est,predicted_from_sales,predicted_rt,imputed,rent_quant
Murray Hill,-38.46722729250538,28.116065614707594,2,,3666.944444444445,,,4098.976711729628,4098.976711729628,4
Navy Yard,-38.465011,28.085315333391456,1,,3292.611111111111,,,3973.7786958566126,3973.7786958566126,4
Neponsit,-38.407925938182885,27.994698135974453,3,,1751.7777777777776,,,1734.8021133958634,1734.8021133958634,1
New Brighton,-38.52745499726232,28.042592463210184,4,,1665.229797979798,,,1711.988332090749,1711.988332090749,1
New Dorp,-38.539700111513476,27.994809843932146,4,,1889.324074074074,,,1914.7180928330927,1914.7180928330927,3
New Dorp Beach,-38.533935403494894,27.990879541460405,4,,1889.324074074074,,,1914.7180928330927,1914.7180928330927,3
New Springville,-38.562164180679055,28.002734370000137,4,,1811.5185185185185,,,1739.0006619769122,1739.0006619769122,2
NoHo,-38.47675754000004,28.101705405287788,2,,3411.027777777778,,,4039.750785803703,4039.750785803703,4
Nolita,-38.477471164720114,28.09836252110003,2,3347.5,2812.8611111111113,3443.5213249280428,3754.8284469048185,2782.642513227513,3347.5,4
North Brother Island,-38.4271359519521,28.15252232501881,0,,1929.6944444444446,,,1977.1811890886888,1977.1811890886888,3
North Riverdale,-38.43076343874899,28.226455222730777,0,,1721.8333333333333,,,1745.6726332371336,1745.6726332371336,2
Norwood,-38.41726216540867,28.20508633986658,0,1558.5833333333333,1556.5277777777776,1551.2573796357387,,1543.4051988135323,1558.5833333333333,0
Oakwood,-38.54103165692342,27.98527650763463,4,,1889.324074074074,,,1914.7180928330927,1914.7180928330927,3
Olinville,-38.41037067362687,28.206106362063302,0,,1561.1944444444443,,,1555.3709802388971,1555.3709802388971,0
Ozone Park,-38.40126424148853,28.068322320000185,3,,1700.5277777777776,,,1740.6819387926892,1740.6819387926892,2
Park Hill,-38.52076185416376,28.023321704744667,4,,1634.5631313131314,,,1666.585380190797,1666.585380190797,0
Park Slope,-38.469382422543234,28.06556990005965,1,2631.5,2722.0,2665.937991594709,2605.342981135378,2753.6525176366845,2631.5,4
Parkchester,-38.411006268402154,28.176591254999526,0,1545.0,1560.1666666666667,1482.3065941162965,1522.1336139396917,1546.1261864678531,1545.0,0
Pelham Bay,-38.39388954822245,28.186606496952788,0,1675.0,1616.6666666666667,1642.9967735751325,1697.1535070074333,1644.0807896424562,1675.0,1
Pelham Bay Park,-38.37240536413936,28.2010367052839,0,,1593.3333333333333,,,1599.9447558922557,1599.9447558922557,0
Pelham Gardens,-38.39789456921668,28.195618893060573,0,,1593.3333333333333,,,1599.9447558922557,1599.9447558922557,0
Pelham Islands,-38.366096134492025,28.195610109953925,0,,1593.3333333333333,,,1599.9447558922557,1599.9447558922557,0
Pleasant Plains,-38.598143882768234,27.95916535500012,4,,1889.324074074074,,,1914.7180928330927,1914.7180928330927,3
Plum Beach,-38.438590880206554,28.002897939439322,1,,1752.3333333333333,,,1734.8021133958634,1734.8021133958634,1
Port Ivory,-38.57285867108512,28.04352640978493,4,,1665.229797979798,,,1711.988332090749,1711.988332090749,1
Port Morris,-38.43372523120516,28.15538126561169,0,,1963.8611111111113,,,1987.244138022471,1987.244138022471,3
Port Richmond,-38.55144535604883,28.036816505104827,4,,1637.7575757575758,,,1666.585380190797,1666.585380190797,0
