,Neighborhood,Borough,Longitude,Latitude,Borough_code,Calls,Calls (log)
259,Rossville,Staten Island,-74.2057645,40.55080100000019,4,252,2.4014005407815437
260,Schuylerville,Bronx,-73.83262972013047,40.83674468719649,0,564,2.751279103983342
261,Sea Gate,Brooklyn,-74.00773533632574,40.57686102095417,1,211,2.3242824552976926
262,Sheepshead Bay,Brooklyn,-73.94657983856507,40.59729972008391,1,2009,3.302979936748249
263,Shore Acres,Staten Island,-74.06664609867076,40.60792696749948,4,145,2.1613680022349744
264,Silver Lake,Staten Island,-74.09841900000005,40.62415600000011,4,128,2.107209969647868
265,SoHo,Manhattan,-74.00529964690115,40.72390437354859,2,861,2.9350031514536545
266,Soundview,Bronx,-73.87141723686304,40.82572363888529,0,2863,3.4568213480215984
267,South Beach,Staten Island,-74.08519804594545,40.58746048478601,4,75,1.8750612633916997
269,South Ozone Park,Queens,-73.81253300000002,40.67283633842096,3,2743,3.438225807604529
270,South Slope,Brooklyn,-73.98492450000015,40.66468153597481,1,931,2.9689496809813423
271,Springfield Gardens,Queens,-73.76773368064791,40.6707278817036,3,1318,3.119915410257991
272,Spuyten Duyvil,Bronx,-73.91761513706656,40.88117750248996,0,259,2.4132997640812515
273,St. Albans,Queens,-73.7646445,40.69700380801353,3,936,2.9712758487381046
274,St. George,Staten Island,-74.07977113287421,40.6423140736698,4,795,2.90036712865647
275,Stapleton,Staten Island,-74.07667605607251,40.6304714644917,4,374,2.57287160220048
276,Stuyvesant Town,Manhattan,-73.97698990471507,40.7318076233949,2,770,2.8864907251724814
277,Sunnyside,Queens,-73.92125103224332,40.738904000000126,3,1854,3.268109729808478
278,Sunset Park,Brooklyn,-74.01199275236065,40.652168624171026,1,3002,3.4774106879072515
279,Theater District,Manhattan,-73.98489032124299,40.758860375272384,2,1837,3.264109156305808
280,Throgs Neck,Bronx,-73.81603538149716,40.82001328038598,0,761,2.8813846567705728
281,Todt Hill,Staten Island,-74.10660949999992,40.59438700000028,4,126,2.1003705451175625
282,Tompkinsville,Staten Island,-74.0876245,40.628906000000086,4,246,2.390935107103379
283,Tottenville,Staten Island,-74.23283818157624,40.50870649380606,4,293,2.4668676203541096
284,Tremont,Bronx,-73.89358562647098,40.84522941884674,0,1644,3.2159018132040313
285,Tribeca,Manhattan,-74.00913790223422,40.71855800000011,2,496,2.695481676490197
286,Two Bridges,Manhattan,-73.99761742900085,40.710568018495906,2,446,2.649334858712142
287,Unionport,Bronx,-73.84990495502683,40.83144649076402,0,1569,3.1956229435869363
288,University Heights,Bronx,-73.91006249415534,40.85815846797476,0,4840,3.684845361644412
289,Upper East Side,Manhattan,-73.95750891224642,40.77306001288474,2,4038,3.6061663146076204
290,Upper West Side,Manhattan,-73.97729910197731,40.78666474183697,2,5072,3.705179244873676
291,Van Cortlandt Park,Bronx,-73.88378228572446,40.897107197356135,0,17,1.2304489213782739
292,Van Nest,Bronx,-73.86486470139774,40.845772735564005,0,1017,3.0073209529227443
293,Vinegar Hill,Brooklyn,-73.98285659910138,40.70210648179588,1,1592,3.20194306340165
294,Wakefield,Bronx,-73.85229575943379,40.8963208356015,0,2854,3.455453968778628
295,Washington Heights,Manhattan,-73.93625901296812,40.84485060385245,2,15612,4.193458542609211
296,West Brighton,Staten Island,-74.11155750000006,40.62772550000008,4,213,2.3283796034387376
297,West Farms,Bronx,-73.87799200327329,40.8423865000001,0,1416,3.1510632533537497
298,West Village,Manhattan,-74.00559384719745,40.73535241613813,2,1549,3.190051417759206
299,Westchester Square,Bronx,-73.84716795075096,40.84116123216927,0,1117,3.048053173115609
300,Westerleigh,Staten Island,-74.13837,40.61836850000008,4,660,2.8195439355418683
301,Whitestone,Queens,-73.8124451919943,40.78750853170409,3,926,2.966610986681934
302,Williamsbridge,Bronx,-73.85522847221287,40.8776130000002,0,1384,3.141136090120739
303,Williamsburg,Brooklyn,-73.94536976611268,40.71164250000012,1,7810,3.8926510338773
304,Willowbrook,Staten Island,-74.13906,40.600862000000234,4,91,1.9590413923210932
305,Windsor Terrace,Brooklyn,-73.97991257734583,40.654210862865085,1,496,2.695481676490197
306,Woodhaven,Queens,-73.85683513723944,40.691993690305125,3,2733,3.4366396316926604
307,Woodlawn,Bronx,-73.86980335232332,40.89149695014788,0,1081,3.03382569395331
308,Woodrow,Staten Island,-74.20054049999999,40.54145784110323,4,906,2.957128197676813
309,Woodside,Queens,-73.90163060611066,40.748394296729444,3,2687,3.429267666433168
